epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1132.79,1.35054,1.60173,1.65227,0.55671,0.45894,0.4706,0.19914,2.03874,1.78841,2.01073,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226
2,1920.45,1.39914,1.62003,1.6902,0.43837,0.34841,0.36298,0.15852,2.14134,2.05146,2.15143,0.0197988,0.00659961,0.0197988,0.00659961,0.0197988,0.00659961,0.0197988,0.00659961
3,2626.73,1.45941,1.80595,1.76668,0.5018,0.3507,0.34209,0.13522,2.29681,2.33967,2.20812,0.0294029,0.00980095,0.0294029,0.00980095,0.0294029,0.00980095,0.0294029,0.00980095
4,3312.56,1.43855,1.77863,1.76381,0.50257,0.4229,0.44168,0.19936,2.05556,1.88052,2.10333,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4000.08,1.34194,1.54511,1.66624,0.6134,0.50999,0.52963,0.23601,1.98753,1.71234,2.01716,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4687.86,1.29506,1.41331,1.62066,0.71245,0.52258,0.60424,0.28933,1.89842,1.49599,1.88168,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5375.16,1.23211,1.29567,1.56227,0.70579,0.60574,0.6668,0.35405,1.7551,1.37524,1.75809,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,6063.29,1.20431,1.21429,1.53953,0.78023,0.56257,0.69484,0.35368,1.7647,1.32943,1.74808,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6750.01,1.17232,1.16554,1.50845,0.75408,0.6382,0.7004,0.37502,1.71371,1.22755,1.72576,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,7439.47,1.15262,1.11644,1.48417,0.749,0.68871,0.74292,0.38889,1.68789,1.19846,1.72616,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
