epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1349.24,1.36685,1.64691,1.62473,0.54736,0.43613,0.43467,0.1929,2.10933,1.94342,1.94448,0.00999725,0.00333242,0.00999725,0.00333242,0.00999725,0.00333242,0.00999725,0.00333242
2,2408.29,1.43079,1.68732,1.68375,0.51139,0.43262,0.40822,0.17538,2.16426,2.14367,2.06736,0.0198323,0.00661076,0.0198323,0.00661076,0.0198323,0.00661076,0.0198323,0.00661076
3,3414.27,1.50873,1.88089,1.78089,0.36682,0.35452,0.273,0.10746,2.3223,2.38415,2.24688,0.0295023,0.0098341,0.0295023,0.0098341,0.0295023,0.0098341,0.0295023,0.0098341
4,4397.83,1.4973,1.8681,1.77754,0.59685,0.38872,0.44469,0.19462,2.1076,1.97272,2.07772,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,5383.47,1.40551,1.65081,1.68386,0.57556,0.46137,0.4861,0.20662,2.0692,1.83589,2.03924,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,6371.1,1.33897,1.49933,1.63097,0.64144,0.54014,0.5743,0.25479,1.93608,1.65207,1.90854,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,7376.25,1.28955,1.39111,1.5821,0.70125,0.53991,0.61732,0.29287,1.85228,1.55266,1.82539,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,8367.59,1.25896,1.32179,1.55392,0.75543,0.56636,0.65272,0.30611,1.90081,1.48643,1.84895,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,9365.59,1.22981,1.25353,1.5236,0.7075,0.61154,0.67965,0.34058,1.82038,1.37703,1.79455,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,10364.2,1.20187,1.209,1.49787,0.80438,0.64859,0.74154,0.36584,1.78696,1.28304,1.75837,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,11358.5,1.19655,1.16928,1.49312,0.74511,0.6653,0.73151,0.38461,1.72956,1.25077,1.68788,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,12354.7,1.1648,1.11904,1.46736,0.71965,0.67001,0.71247,0.38778,1.70777,1.23819,1.6926,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,13346.6,1.1615,1.10737,1.4632,0.79445,0.65402,0.7449,0.40457,1.6561,1.21146,1.67293,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,14338.9,1.13933,1.06281,1.44182,0.79184,0.7075,0.77649,0.42706,1.67268,1.12302,1.67208,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,15336.6,1.1232,1.03611,1.42509,0.75529,0.72118,0.78622,0.42918,1.61265,1.1141,1.63045,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,16319.8,1.11512,1.01929,1.42356,0.8115,0.71772,0.78509,0.44552,1.6154,1.08051,1.61149,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,17302.6,1.10323,0.9967,1.40973,0.83443,0.74302,0.80234,0.44745,1.63199,1.04192,1.62032,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,18290.5,1.08973,0.97161,1.39506,0.81203,0.70786,0.79383,0.45379,1.60564,1.04313,1.60642,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,19285.5,1.08477,0.9561,1.38973,0.79775,0.74226,0.80644,0.46779,1.5557,1.02409,1.57349,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,20281,1.06825,0.93883,1.38063,0.83309,0.75016,0.81508,0.46613,1.5797,1.00703,1.59554,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,21262.7,1.05144,0.91299,1.37114,0.84981,0.73881,0.81585,0.47676,1.54808,1.0088,1.55675,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,22242.3,1.05618,0.90952,1.36733,0.8415,0.74653,0.82118,0.48012,1.52374,0.99733,1.54499,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
23,23231.4,1.03905,0.88352,1.35595,0.84696,0.74684,0.82323,0.48962,1.53232,0.97819,1.53751,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
24,24228,1.03357,0.87551,1.34925,0.84501,0.76655,0.82133,0.48,1.53731,0.95327,1.55965,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
25,25227.1,1.03275,0.8708,1.34863,0.85191,0.76231,0.84235,0.49907,1.53774,0.91127,1.55358,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
26,26212.5,1.02236,0.85344,1.34043,0.87648,0.75689,0.84829,0.50329,1.50636,0.89326,1.53394,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
27,27203.8,1.00962,0.83916,1.32802,0.89666,0.75733,0.85041,0.50889,1.49082,0.88089,1.51029,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
28,28196.4,1.0142,0.83146,1.3316,0.87514,0.76604,0.85184,0.50162,1.51636,0.88363,1.52189,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
29,29177.6,1.00242,0.81918,1.32113,0.8651,0.80099,0.85973,0.51548,1.5092,0.85846,1.5224,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
30,30164.8,0.9919,0.8095,1.3161,0.85824,0.78321,0.85554,0.5172,1.48192,0.85271,1.51464,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075
31,31143.7,0.98598,0.80318,1.30855,0.86854,0.78224,0.85621,0.51815,1.48373,0.8504,1.51716,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,32126.9,0.98053,0.78945,1.30404,0.87175,0.78677,0.86031,0.5174,1.48436,0.82413,1.51776,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,33106.4,0.97172,0.77684,1.29886,0.89341,0.76981,0.86018,0.51823,1.47926,0.81798,1.50536,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,34090.3,0.96827,0.76343,1.28913,0.88193,0.78539,0.85861,0.51772,1.46698,0.81873,1.49785,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,35073.1,0.96409,0.75442,1.28423,0.88471,0.78546,0.8598,0.51853,1.45501,0.8152,1.49082,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,36060.1,0.95569,0.74865,1.28466,0.89552,0.80076,0.86467,0.52323,1.44854,0.80355,1.48436,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,37048.2,0.95275,0.74828,1.27754,0.88981,0.80527,0.86621,0.52428,1.43963,0.79281,1.48077,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,38036.6,0.94785,0.73854,1.27333,0.89379,0.80421,0.87214,0.52579,1.44471,0.78614,1.48402,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,39046.9,0.93843,0.72551,1.26615,0.89051,0.792,0.86475,0.52901,1.44434,0.7836,1.48309,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,40031.2,0.93005,0.7128,1.25889,0.90874,0.80504,0.87322,0.52805,1.44187,0.7766,1.48482,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,41005,0.92749,0.71863,1.25818,0.91196,0.81381,0.86771,0.52853,1.4388,0.7809,1.4824,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,41980.4,0.92807,0.70738,1.25663,0.89483,0.82168,0.8709,0.52975,1.43958,0.77717,1.48509,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
