                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.367,2.359,1.579,0.512,0.366,0.377,0.148,0.0,0.0,0.0,0.0,0.0,0.0
2,1.338,1.609,1.562,0.476,0.372,0.371,0.163,0.0,0.0,0.0,0.0,0.0,0.0
3,1.474,1.81,1.7,0.253,0.214,0.134,0.0483,0.0,0.0,0.0,0.0,0.0,0.0
4,1.454,1.756,1.694,0.39,0.396,0.324,0.141,0.0,0.0,0.0,0.0,0.0,0.0
5,1.376,1.57,1.622,0.627,0.42,0.496,0.211,0.0,0.0,0.0,0.0,0.0,0.0
6,1.318,1.47,1.57,0.565,0.399,0.451,0.213,0.0,0.0,0.0,0.0,0.0,0.0
7,1.289,1.385,1.541,0.594,0.473,0.524,0.25,0.0,0.0,0.0,0.0,0.0,0.0
8,1.266,1.332,1.523,0.715,0.504,0.608,0.307,0.0,0.0,0.0,0.0,0.0,0.0
9,1.24,1.274,1.495,0.658,0.498,0.566,0.285,0.0,0.0,0.0,0.0,0.0,0.0
10,1.228,1.238,1.482,0.654,0.6,0.628,0.336,0.0,0.0,0.0,0.0,0.0,0.0
11,1.204,1.209,1.465,0.738,0.571,0.666,0.345,0.0,0.0,0.0,0.0,0.0,0.0
12,1.191,1.177,1.451,0.697,0.573,0.651,0.331,0.0,0.0,0.0,0.0,0.0,0.0
13,1.171,1.147,1.436,0.736,0.615,0.686,0.344,0.0,0.0,0.0,0.0,0.0,0.0
14,1.173,1.131,1.434,0.722,0.648,0.717,0.374,0.0,0.0,0.0,0.0,0.0,0.0
15,1.158,1.105,1.418,0.757,0.648,0.716,0.377,0.0,0.0,0.0,0.0,0.0,0.0
16,1.146,1.078,1.41,0.759,0.67,0.731,0.385,0.0,0.0,0.0,0.0,0.0,0.0
17,1.131,1.064,1.404,0.759,0.645,0.744,0.402,0.0,0.0,0.0,0.0,0.0,0.0
18,1.123,1.044,1.393,0.758,0.686,0.737,0.385,0.0,0.0,0.0,0.0,0.0,0.0
19,1.124,1.047,1.39,0.717,0.69,0.755,0.415,0.0,0.0,0.0,0.0,0.0,0.0
20,1.122,1.024,1.386,0.772,0.68,0.747,0.418,0.0,0.0,0.0,0.0,0.0,0.0
21,1.117,1.011,1.379,0.79,0.672,0.747,0.421,0.0,0.0,0.0,0.0,0.0,0.0
22,1.106,0.9951,1.369,0.776,0.692,0.77,0.438,0.0,0.0,0.0,0.0,0.0,0.0
23,1.102,0.9883,1.365,0.792,0.635,0.75,0.418,0.0,0.0,0.0,0.0,0.0,0.0
