epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,722.067,1.33218,1.61933,1.55768,0.49035,0.42406,0.45693,0.17521,2.10233,1.9111,1.86093,0.00999405,0.00333135,0.00999405,0.00333135,0.00999405,0.00333135,0.00999405,0.00333135
2,1315.53,1.36135,1.51219,1.58667,0.41857,0.33328,0.31794,0.14391,2.05842,2.17354,1.98981,0.0198291,0.0066097,0.0198291,0.0066097,0.0198291,0.0066097,0.0198291,0.0066097
3,1868.45,1.45626,1.71132,1.68695,0.28054,0.34298,0.25474,0.10347,2.23158,2.40211,2.26727,0.0294991,0.00983305,0.0294991,0.00983305,0.0294991,0.00983305,0.0294991,0.00983305
4,2409.59,1.46039,1.73122,1.7079,0.48839,0.40142,0.40987,0.17679,2.07517,2.04058,2.01479,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,2953.39,1.37618,1.535,1.62631,0.63126,0.51242,0.55959,0.25839,1.99001,1.69095,1.94097,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,3493.33,1.30885,1.40439,1.57343,0.57427,0.54418,0.55209,0.26572,1.9242,1.66688,1.86966,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,4038.91,1.26605,1.31219,1.52801,0.68365,0.49834,0.59296,0.28788,1.9119,1.54108,1.87558,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,4582.79,1.22969,1.24709,1.49742,0.69582,0.57704,0.62912,0.30508,1.81159,1.49962,1.7421,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,5129.73,1.20642,1.19273,1.46925,0.69272,0.60539,0.67944,0.34686,1.70401,1.36055,1.66617,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,5674.83,1.18877,1.15329,1.46079,0.74597,0.61667,0.71387,0.37254,1.73951,1.27227,1.68958,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,6209.52,1.16589,1.11829,1.44014,0.8204,0.59055,0.7107,0.37839,1.69514,1.2714,1.63693,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,6743.14,1.15243,1.07515,1.42283,0.76893,0.64703,0.7162,0.39495,1.67027,1.20595,1.64093,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,7273.09,1.14152,1.05198,1.4144,0.77542,0.6315,0.72085,0.38579,1.66338,1.2008,1.65087,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,7803.83,1.1174,1.01551,1.39579,0.71013,0.7001,0.73779,0.40043,1.66754,1.16701,1.6205,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,8337.77,1.11206,1.00121,1.38904,0.75963,0.6785,0.74001,0.42538,1.58277,1.13219,1.54324,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,8873.21,1.11153,0.97874,1.38268,0.85381,0.65875,0.76599,0.42927,1.58224,1.09232,1.54285,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,9407.88,1.09356,0.95702,1.37235,0.80798,0.72823,0.79619,0.44875,1.54876,1.06349,1.52199,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,9941.09,1.08314,0.9401,1.35846,0.81998,0.73753,0.79186,0.44602,1.59922,1.04745,1.55341,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,10473.3,1.06714,0.925,1.3452,0.86412,0.67272,0.78404,0.44177,1.55682,1.06512,1.51194,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,11009.2,1.06537,0.91009,1.34231,0.82986,0.7258,0.79155,0.44628,1.55887,1.02911,1.54593,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,11543.1,1.06014,0.89614,1.34098,0.86004,0.72362,0.80631,0.45925,1.54477,1.0004,1.50228,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,12078.2,1.05556,0.8882,1.33231,0.83666,0.74786,0.81902,0.46885,1.54155,0.9981,1.53263,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
23,12612.9,1.03901,0.86554,1.3201,0.85165,0.73445,0.80646,0.46673,1.54091,0.96835,1.51994,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
24,13149.6,1.03308,0.85069,1.31485,0.86786,0.7526,0.81403,0.47385,1.52389,0.92775,1.50647,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
25,13683.8,1.03097,0.84187,1.30999,0.83227,0.74223,0.81706,0.47477,1.52878,0.93403,1.51597,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
26,14218.7,1.02355,0.83631,1.30347,0.85705,0.74801,0.82168,0.47552,1.51457,0.91362,1.49227,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
