epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3519.69,1.46457,1.89625,1.75731,0.45403,0.47982,0.41004,0.15618,2.34872,2.02546,2.25947,0.00999908,0.00333303,0.00999908,0.00333303,0.00999908,0.00333303,0.00999908,0.00333303
2,6110.52,1.65927,1.82571,1.98069,0.34679,0.48735,0.29433,0.11854,2.3147,2.73832,2.22408,0.0181992,0.00606639,0.0181992,0.00606639,0.0181992,0.00606639,0.0181992,0.00606639
3,8585.53,1.70514,1.97553,2.03413,0.3387,0.3409,0.25818,0.10364,2.34858,2.4327,2.23415,0.0250492,0.00834975,0.0250492,0.00834975,0.0250492,0.00834975,0.0250492,0.00834975
4,11014,1.65976,1.8874,2.01008,0.39215,0.44369,0.33388,0.14663,2.2701,2.31322,2.17429,0.0231462,0.00771538,0.0231462,0.00771538,0.0231462,0.00771538,0.0231462,0.00771538
5,13437,1.53329,1.59815,1.88473,0.70779,0.45607,0.54156,0.24975,1.99576,1.85598,1.97089,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
6,15888.5,1.44255,1.40426,1.79851,0.60421,0.52183,0.53015,0.25576,2.06173,1.82568,1.98007,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
7,18329.2,1.37623,1.2442,1.72212,0.70756,0.56056,0.6195,0.30324,1.99295,1.60646,1.92165,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
8,20733.2,1.30885,1.11592,1.65395,0.75582,0.51199,0.5987,0.28452,1.98106,1.74651,1.88155,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
9,23140.2,1.25387,1.01642,1.60672,0.72341,0.595,0.66893,0.32438,1.84966,1.50578,1.82026,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
10,25603.9,1.20493,0.91608,1.54708,0.78121,0.6169,0.70339,0.36218,1.79,1.38324,1.76783,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571
11,28041.4,1.15957,0.85082,1.51291,0.78336,0.67018,0.74666,0.38926,1.78568,1.30321,1.75327,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
12,30443.1,1.11675,0.77302,1.47387,0.74751,0.69154,0.75721,0.39382,1.71876,1.23334,1.75739,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
13,32896,1.06309,0.69389,1.42436,0.78631,0.68596,0.76496,0.41095,1.65849,1.17289,1.70852,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
14,35361.7,1.01538,0.63638,1.3857,0.75905,0.73558,0.78764,0.43308,1.62128,1.12311,1.6795,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
